action_id	source	family	audit_class	url_count	reachable	dead	unknown
company/字节跳动/字节跳动::verify_evidence	字节跳动	company	no-urls	0	0	0	0
company/NVIDIA/NVIDIA::verify_evidence	NVIDIA	company	no-urls	0	0	0	0
company/AMD/AMD::verify_evidence	AMD	company	no-urls	0	0	0	0
company/阿里巴巴/阿里巴巴::verify_evidence	阿里巴巴	company	no-urls	0	0	0	0
company/Hugging Face/Hugging Face::verify_evidence	Hugging Face	company	no-urls	0	0	0	0
company/Amazon/Amazon::verify_evidence	Amazon / AWS	company	no-urls	0	0	0	0
university/上海交通大学/Xingda Wei::verify_evidence	Xingda Wei	person	unconfirmed-liveness	1	0	1	0
university/四川大学/四川大学::verify_evidence	四川大学	school	unconfirmed-liveness	1	0	0	1
